City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,karaton,-6.3424,106.1045,295.66,95,91,1.3,ID,1687991375
329,linqu,36.5156,118.5397,297.77,86,100,1.72,CN,1687991376
330,timbiqui,2.7717,-77.6654,300.89,79,92,1.41,CO,1687991376
331,kodinsk,58.6881,99.1844,285.49,74,0,1.08,RU,1687991376
332,novaya igirma,57.1334,103.9112,284.37,75,100,0.95,RU,1687991376
333,egilsstadir,65.2653,-14.3948,284.1,87,75,4.63,IS,1687991209
334,ouadda,8.0777,22.4007,293.92,95,62,0.91,CF,1687991378
335,island harbour,50.724,-1.2758,292.68,89,75,1.79,GB,1687991378
336,mount gambier,-37.8333,140.7667,282.05,74,100,3.33,AU,1687991176
337,vysokiy,58.35,60.05,284.66,95,89,1.95,RU,1687991379
338,ilha solteira,-20.4328,-51.3425,295.13,49,0,1.84,BR,1687991379
339,novodvinsk,64.4165,40.8122,281.95,70,46,1.55,RU,1687991379
340,yeppoon,-23.1333,150.7333,291.03,61,20,2.31,AU,1687991379
341,uttarkashi,30.7333,78.45,296.49,87,93,0.86,IN,1687991380
342,vadso,70.0744,29.7487,281.64,81,100,3.6,NO,1687991165
343,sao joao da barra,-21.6403,-41.0511,296.2,87,0,6.19,BR,1687991043
344,kanniyakumari,8.0833,77.5667,299.63,81,40,7.68,IN,1687991380
345,benghazi,32.1167,20.0667,297.35,78,0,2.62,LY,1687991039
346,oriximina,-1.7656,-55.8661,301.28,59,92,1.51,BR,1687991240
347,zhaotong,27.3167,103.7167,291.17,96,100,1.91,CN,1687991381
348,sisimiut,66.9395,-53.6735,279.23,84,100,4.69,GL,1687991191
349,horki,54.2861,30.9842,283.58,97,84,2.41,BY,1687991381
350,kingston,17.997,-76.7936,304.68,80,40,2.06,JM,1687990907
351,arteche,12.2645,125.4048,298.37,91,81,1.64,PH,1687991382
352,nova sintra,14.8667,-24.7167,294.27,82,6,8.34,CV,1687991130
353,ceerigaabo,10.6162,47.368,291.36,71,82,8.54,SO,1687991382
354,khandyga,62.6667,135.6,296.29,70,77,1.91,RU,1687991382
355,cadale,2.7603,46.3222,298.34,81,81,7.97,SO,1687991383
356,bangkalan,-7.0455,112.7351,298.12,86,42,1.6,ID,1687991383
357,pasighat,28.0667,95.3333,298.29,93,100,0.71,IN,1687991383
358,ajdabiya,30.7554,20.2263,296.71,75,0,3.77,LY,1687991383
359,klyuchi,52.2667,79.1667,287.88,71,99,7.09,RU,1687991116
360,sumbe,-11.2061,13.8437,292.3,89,76,3.06,AO,1687991384
361,haflong,25.1833,93.0333,296.06,98,94,1.29,IN,1687991384
362,ugoofaaru,5.6667,73.0,301.14,75,9,5.45,MV,1687991384
